Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232940-2829 | Type=image_resize
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232940-2611 | Type=image_resize
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232940-9277 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232940-5103 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232940-1279 | Type=data_backup
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232940-0139 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232940-5411 | Type=image_resize
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232940-8459 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232940-4316 | Type=email
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232940-3927 | Type=email
